iter	Passed	Remaining
540	792	672
541	793	670
542	795	669
543	796	667
544	798	666
545	799	664
546	800	663
547	802	662
548	804	660
549	805	659
550	807	657
551	808	656
552	810	654
553	811	653
554	812	651
555	813	649
556	815	648
557	817	647
558	818	645
559	820	644
560	821	643
561	823	641
562	824	639
563	825	638
564	827	636
565	828	635
566	830	634
567	831	632
568	833	631
569	834	629
570	836	628
571	837	626
572	838	625
573	840	623
574	841	622
575	844	621
576	845	619
577	846	618
578	848	616
579	849	615
580	850	613
581	852	612
582	854	610
583	856	610
584	858	608
585	859	607
586	861	605
587	862	604
588	864	603
589	865	601
590	866	599
591	868	598
592	869	597
593	871	595
594	873	594
595	874	593
596	876	591
597	877	590
598	879	588
599	880	586
600	881	585
601	883	583
602	884	582
603	886	581
604	887	579
605	889	578
606	891	577
607	892	575
608	894	573
609	895	572
610	897	571
611	899	569
612	900	568
613	901	566
614	903	565
615	904	564
616	906	562
617	907	560
618	908	559
619	910	558
620	912	556
621	913	555
622	914	553
623	915	551
624	917	550
625	918	548
626	920	547
627	921	545
628	922	544
629	925	543
630	926	541
631	927	540
632	929	538
633	930	537
634	932	535
635	933	534
636	934	532
637	936	531
638	937	529
639	939	528
640	940	526
641	942	525
642	943	523
643	945	522
644	946	520
645	947	519
646	948	517
647	950	516
648	952	515
649	954	513
650	955	512
651	956	510
652	958	509
653	959	507
654	960	506
655	962	504
656	963	502
657	965	501
658	967	500
659	969	499
660	970	497
661	972	496
662	973	494
663	975	493
664	977	492
665	979	491
666	981	489
667	982	488
668	983	486
669	985	485
670	986	483
671	987	481
672	988	480
673	989	478
674	991	477
675	993	475
676	994	474
677	995	472
678	996	471
679	998	469
680	999	468
681	1000	466
682	1001	464
683	1002	463
684	1004	461
685	1005	460
686	1007	459
687	1009	457
688	1010	456
689	1011	454
690	1012	452
691	1014	451
692	1015	449
693	1016	448
694	1017	446
695	1020	445
696	1022	444
697	1024	443
698	1025	441
699	1027	440
700	1029	438
701	1030	437
702	1031	435
703	1034	434
704	1036	433
705	1037	432
706	1040	431
707	1042	429
708	1043	428
709	1045	426
710	1047	425
711	1048	424
712	1050	422
713	1052	421
714	1053	420
715	1055	418
716	1056	417
717	1057	415
718	1059	414
719	1061	412
720	1063	411
721	1064	409
722	1065	408
723	1067	406
724	1068	405
725	1069	403
726	1071	402
727	1073	400
728	1075	399
729	1076	398
730	1077	396
731	1079	395
732	1080	393
733	1082	392
734	1083	390
735	1084	389
736	1086	387
737	1088	386
738	1090	385
739	1091	383
740	1092	381
741	1094	380
742	1095	378
743	1096	377
744	1098	375
745	1099	374
746	1102	373
747	1103	371
748	1105	370
749	1106	368
750	1108	367
751	1109	365
752	1110	364
753	1112	362
754	1114	361
755	1116	360
756	1117	358
757	1119	357
758	1120	355
759	1122	354
760	1123	352
761	1125	351
762	1126	349
763	1127	348
764	1129	346
765	1131	345
766	1132	344
767	1133	342
768	1135	341
769	1136	339
770	1138	338
771	1139	336
772	1140	335
773	1143	333
774	1144	332
775	1146	331
776	1148	329
777	1149	328
778	1151	326
779	1152	325
780	1154	323
781	1156	322
782	1158	321
783	1159	319
784	1161	318
785	1162	316
786	1163	314
787	1165	313
788	1166	311
789	1167	310
790	1168	308
791	1170	307
792	1171	305
793	1173	304
794	1174	302
795	1175	301
796	1177	299
797	1178	298
798	1179	296
799	1180	295
800	1182	293
801	1183	292
802	1184	290
803	1187	289
804	1189	288
805	1191	286
806	1192	285
807	1194	283
808	1195	282
809	1197	280
810	1199	279
811	1201	278
812	1203	276
813	1205	275
814	1206	273
815	1208	272
816	1209	270
817	1211	269
818	1212	268
819	1214	266
820	1215	265
821	1217	263
822	1218	262
823	1219	260
824	1220	258
825	1221	257
826	1222	255
827	1225	254
828	1227	253
829	1229	251
830	1231	250
831	1232	248
832	1234	247
833	1235	245
834	1236	244
835	1239	243
836	1241	241
837	1242	240
838	1244	238
839	1245	237
840	1246	235
841	1248	234
842	1249	232
843	1251	231
844	1253	229
845	1254	228
846	1255	226
847	1257	225
848	1258	223
849	1259	222
850	1261	220
851	1262	219
852	1263	217
853	1265	216
854	1266	214
855	1267	213
856	1269	211
857	1270	210
858	1271	208
859	1272	207
860	1273	205
861	1274	204
862	1275	202
863	1277	201
864	1278	199
865	1280	198
866	1281	196
867	1282	194
868	1283	193
869	1284	191
870	1285	190
871	1286	188
872	1287	187
873	1289	185
874	1290	184
875	1291	182
876	1293	181
877	1294	179
878	1295	178
879	1296	176
880	1297	175
881	1298	173
882	1300	172
883	1301	170
884	1302	169
885	1303	167
886	1304	166
887	1306	164
888	1307	163
889	1308	161
890	1309	160
891	1311	158
892	1312	157
893	1313	155
894	1314	154
895	1315	152
896	1316	151
897	1317	149
898	1319	148
899	1320	146
900	1322	145
901	1323	143
902	1324	142
903	1326	140
904	1327	139
905	1328	137
906	1330	136
907	1331	134
908	1332	133
909	1334	131
910	1335	130
911	1337	129
912	1338	127
913	1339	126
914	1341	124
915	1342	123
916	1343	121
917	1345	120
918	1346	118
919	1347	117
920	1349	115
921	1351	114
922	1352	112
923	1353	111
924	1354	109
925	1356	108
926	1358	106
927	1359	105
928	1360	103
929	1362	102
930	1363	101
931	1365	99
932	1367	98
933	1368	96
934	1369	95
935	1370	93
936	1371	92
937	1373	90
938	1374	89
939	1375	87
940	1377	86
941	1378	84
942	1380	83
943	1381	81
944	1382	80
945	1383	78
946	1385	77
947	1386	76
948	1387	74
949	1388	73
950	1390	71
951	1391	70
952	1393	68
953	1395	67
954	1396	65
955	1397	64
956	1398	62
957	1400	61
958	1401	59
959	1402	58
960	1404	56
961	1405	55
962	1406	54
963	1407	52
964	1409	51
965	1410	49
966	1411	48
967	1413	46
968	1414	45
969	1415	43
970	1416	42
971	1418	40
972	1419	39
973	1420	37
974	1422	36
975	1423	35
976	1424	33
977	1425	32
978	1427	30
979	1428	29
980	1429	27
981	1430	26
982	1432	24
983	1433	23
984	1434	21
985	1436	20
986	1437	18
987	1438	17
988	1440	16
989	1441	14
990	1442	13
991	1443	11
992	1444	10
993	1446	8
994	1447	7
995	1449	5
996	1450	4
997	1452	2
998	1453	1
999	1454	0
